file,rhythmic_entropy,melodic_range,hnr,spectral_centroid,spectral_bandwidth,zero_crossing_rate,rms_energy
H352N.mp3,-7495.834676246842,3975.6077,-15.9777355,1422.4277086328698,1522.8501367373347,0.06841594205312722,0.14155018
H312N.mp3,-5574.944578806531,4000.2505,0.5049488,2427.190733495096,2033.2511210742366,0.13012435034648187,0.34972692
H69N.mp3,-4176.368472908345,3930.7244,-1.0863502,1763.754213153517,1771.2167153472112,0.07387379508706468,0.20195737
H66N.mp3,-5552.035825198547,4000.7847,-79.07285,1761.191681951944,1875.4890865871498,0.07813853444829424,0.24279119
H239N.mp3,-4896.84159985235,2756.0635,28.313707,762.6821470825032,1222.4689314823775,0.026499408648720683,0.14964524
H242N.mp3,-8062.461494183175,4001.3044,5.690399,1819.263718270138,1826.9595449933063,0.08916563943674485,0.3303922
H119N.mp3,-5340.3784888712335,3997.8706,5.5415215,1558.7759981289166,1721.022243815684,0.05753632784737029,0.25727883
H275N.mp3,-8275.288130658302,3896.9917,-3.0791757,1207.6368153330402,1460.7099797942628,0.05485997745646766,0.1318895
H245N.mp3,-5120.2888872613485,1323.4595,-24.060347,1586.1264066833583,1902.3980829639725,0.0334991476767946,0.19111288
H427N.mp3,-8055.242080678765,4000.4517,-3.0685227,2265.15959360457,1726.0754764508013,0.11676584988006397,0.02845171
H426N.mp3,-4452.252998400478,2668.5845,28.795547,1156.0736467153793,1663.3695513854138,0.03464853467039801,0.29969558
H298N.mp3,-4873.444982179284,3991.971,-15.271355,2023.938031648925,2130.2854042298827,0.09519124522476902,0.100741625
H95N.mp3,-9770.041329223835,4000.998,14.648706,2301.1490725755057,2350.877932501883,0.12312044687277897,0.14882733
H256N.mp3,-4873.779506697438,3951.4321,17.161434,959.4211501897115,1239.1561209508448,0.027666494536247335,0.24260347
H441N.mp3,-4709.488397767897,3972.7322,6.829388,1942.3103455324015,1524.4337839667005,0.11689807102878465,0.036620628
H128N.mp3,-8910.000278169084,3819.504,68.59606,701.7620009127179,639.5676641645244,0.03295776974502487,0.05194087
H403N.mp3,-5195.321326109669,4001.6753,-15.266011,2564.072936497075,2359.873562320471,0.09593008728678039,0.3624762
H375N.mp3,-6568.894377925751,3981.0684,-15.086838,1439.105386306698,1514.1471496234412,0.06147242304104478,0.20154195
H221N.mp3,-4462.1458907061115,3950.079,1.6654115,1676.5829313229233,1765.4310904963374,0.07337787902007818,0.24816307
H342N.mp3,-6020.9466461424345,3999.5334,-1.6736674,2142.642348152036,1974.171825223959,0.11547209543798863,0.21016148
H97N.mp3,-5277.381638635064,3746.9673,29.766022,1512.1751999334329,1641.0400408903097,0.05962549140458422,0.30657828
H214N.mp3,-13520.98985903468,4000.0776,-6.5974674,2093.354101214991,1979.7918870555989,0.10734309757018479,0.29379404
H307N.mp3,-5787.346313783949,3951.1064,1.1301581,1964.8871717579125,1967.5065840277452,0.09858006285536602,0.16027899
H7N.mp3,-5487.1771534036025,3526.7832,-0.9619723,1258.5008908470622,1400.4495356767284,0.06253192741648898,0.13989691
H218N.mp3,-5016.650226348985,3952.4817,259.843,1356.0983781416733,1693.7290540250117,0.0401414384550462,0.25250152
